transaction_id,customer_id,merchant_id,transaction_date,amount,payment_method,transaction_status,installment_months,cashback,wallet_used
1,80,2,2024-06-05,923.09,Card,Success,12,18.46,True
2,11,6,2024-03-02,801.29,Apple Pay,Success,3,16.03,True
3,89,20,2024-04-30,1231.47,Google Pay,Success,3,24.63,False
4,90,15,2024-01-19,2123.8,Apple Pay,Failed,12,42.48,True
5,70,8,2024-06-14,1281.17,Apple Pay,Failed,3,25.62,True
6,40,20,2024-05-25,188.32,Google Pay,Failed,3,3.77,False
7,90,13,2024-03-10,2069.15,Wallet,Failed,3,41.38,True
8,95,11,2024-06-03,2669.37,Google Pay,Success,3,53.39,True
9,74,19,2024-01-06,2886.11,Google Pay,Success,3,57.72,False
10,57,9,2024-02-16,1561.7,Wallet,Failed,3,31.23,False
11,43,11,2024-06-20,1050.4,Card,Success,6,21.01,False
12,37,13,2024-05-20,2084.08,Card,Failed,3,41.68,False
13,15,13,2024-05-11,764.67,Card,Failed,6,15.29,True
14,47,20,2024-05-07,570.87,Wallet,Success,3,11.42,False
15,37,15,2024-06-27,1652.17,Wallet,Success,3,33.04,True
16,40,18,2024-01-04,2132.25,Wallet,Success,3,42.65,True
17,16,5,2024-05-07,1389.73,Google Pay,Failed,6,27.79,False
18,32,15,2024-05-21,2940.93,Apple Pay,Failed,3,58.82,True
19,36,14,2024-03-28,2593.44,Google Pay,Success,6,51.87,False
20,75,16,2024-02-08,2514.05,Wallet,Failed,6,50.28,False
21,70,13,2024-04-26,1660.23,Google Pay,Success,12,33.2,True
22,30,14,2024-01-12,1719.67,Google Pay,Failed,12,34.39,False
23,85,5,2024-05-06,1164.38,Card,Success,12,23.29,False
24,57,4,2024-05-14,2610.4,Wallet,Success,12,52.21,True
25,84,5,2024-01-20,1235.84,Wallet,Failed,6,24.72,False
26,43,18,2024-04-07,1953.01,Google Pay,Failed,12,39.06,True
27,31,10,2024-02-28,1856.2,Card,Failed,3,37.12,True
28,89,10,2024-01-08,1336.6,Card,Failed,3,26.73,False
29,56,5,2024-03-03,1081.81,Wallet,Success,3,21.64,True
30,49,20,2024-06-23,246.12,Apple Pay,Failed,12,4.92,True
31,82,9,2024-04-27,704.24,Google Pay,Success,6,14.08,False
32,21,3,2024-04-23,2036.06,Google Pay,Failed,12,40.72,False
33,59,10,2024-02-20,2074.04,Wallet,Failed,3,41.48,True
34,46,19,2024-03-16,1150.28,Google Pay,Success,12,23.01,False
35,73,2,2024-06-04,830.7,Wallet,Failed,3,16.61,False
36,25,20,2024-03-05,664.82,Apple Pay,Success,12,13.3,True
37,57,2,2024-05-28,933.71,Google Pay,Success,3,18.67,False
38,54,6,2024-02-21,986.89,Apple Pay,Failed,12,19.74,False
39,33,16,2024-03-16,2493.11,Google Pay,Success,6,49.86,True
40,29,13,2024-05-22,430.86,Google Pay,Success,6,8.62,True
41,16,15,2024-04-04,800.73,Google Pay,Failed,12,16.01,False
42,30,16,2024-01-07,333.95,Google Pay,Success,12,6.68,True
43,60,10,2024-06-15,1909.86,Wallet,Success,3,38.2,True
44,39,16,2024-01-30,2839.32,Card,Success,12,56.79,True
45,48,18,2024-04-17,1172.05,Apple Pay,Failed,12,23.44,True
46,79,14,2024-03-12,2502.74,Card,Failed,3,50.05,False
47,31,12,2024-01-26,1339.64,Google Pay,Failed,3,26.79,False
48,16,15,2024-01-24,834.89,Apple Pay,Success,3,16.7,False
49,17,19,2024-02-22,738.27,Card,Success,12,14.77,True
50,30,11,2024-02-07,2441.03,Card,Failed,3,48.82,True
51,23,4,2024-06-18,1625.24,Card,Success,3,32.5,False
52,31,19,2024-03-23,2372.05,Card,Success,6,47.44,True
53,54,17,2024-01-30,389.01,Card,Failed,6,7.78,False
54,14,15,2024-05-08,1544.58,Apple Pay,Success,12,30.89,False
55,4,2,2024-05-02,1379.55,Wallet,Failed,12,27.59,True
56,57,3,2024-01-21,1475.9,Google Pay,Success,3,29.52,True
57,82,19,2024-05-20,832.3,Google Pay,Failed,12,16.65,False
58,78,14,2024-01-26,1366.61,Card,Success,6,27.33,False
59,53,11,2024-04-26,2665.39,Wallet,Failed,12,53.31,True
60,41,9,2024-04-05,944.52,Apple Pay,Failed,3,18.89,True
61,12,14,2024-01-25,2497.0,Google Pay,Success,12,49.94,True
62,72,18,2024-03-25,1763.53,Card,Failed,6,35.27,False
63,93,2,2024-03-14,2605.6,Google Pay,Failed,3,52.11,True
64,62,8,2024-01-28,472.64,Google Pay,Failed,3,9.45,False
65,55,18,2024-06-08,1726.56,Card,Failed,3,34.53,True
66,98,10,2024-03-27,827.08,Google Pay,Success,3,16.54,True
67,52,3,2024-02-06,1703.3,Card,Success,12,34.07,True
68,59,11,2024-02-10,1134.82,Google Pay,Failed,12,22.7,False
69,73,20,2024-01-22,2332.74,Card,Success,3,46.65,True
70,35,15,2024-06-18,2025.17,Wallet,Failed,12,40.5,False
71,28,17,2024-01-30,1248.41,Google Pay,Failed,3,24.97,False
72,76,16,2024-05-14,2037.87,Google Pay,Success,3,40.76,False
73,8,1,2024-02-22,2953.49,Google Pay,Success,3,59.07,False
74,16,1,2024-05-07,875.45,Wallet,Success,3,17.51,False
75,30,17,2024-05-23,1602.42,Google Pay,Success,6,32.05,True
76,59,3,2024-03-21,1314.3,Wallet,Failed,12,26.29,False
77,52,1,2024-03-24,875.65,Apple Pay,Failed,12,17.51,False
78,14,8,2024-04-21,273.51,Wallet,Success,6,5.47,False
79,29,11,2024-02-13,2239.96,Card,Success,12,44.8,True
80,45,12,2024-06-14,2718.71,Apple Pay,Success,3,54.37,True
81,23,20,2024-02-09,775.34,Card,Success,12,15.51,False
82,73,19,2024-04-24,1397.22,Google Pay,Failed,3,27.94,False
83,57,10,2024-03-11,214.18,Card,Failed,12,4.28,True
84,58,2,2024-01-15,938.12,Google Pay,Failed,3,18.76,True
85,65,13,2024-04-28,1848.88,Card,Failed,12,36.98,True
86,61,17,2024-02-08,971.37,Card,Failed,3,19.43,False
87,11,17,2024-06-14,2947.33,Apple Pay,Success,3,58.95,False
88,68,17,2024-06-05,2973.05,Apple Pay,Failed,6,59.46,False
89,100,11,2024-06-22,1168.38,Card,Failed,3,23.37,False
90,87,13,2024-03-13,292.57,Google Pay,Success,6,5.85,True
91,19,12,2024-03-20,1752.39,Wallet,Success,12,35.05,True
92,49,11,2024-02-02,935.65,Card,Failed,12,18.71,False
93,40,6,2024-02-24,64.51,Google Pay,Failed,3,1.29,True
94,20,3,2024-03-16,2999.93,Card,Success,12,60.0,False
95,80,5,2024-06-01,2630.41,Wallet,Success,3,52.61,True
96,99,20,2024-02-12,2495.72,Wallet,Success,6,49.91,False
97,31,15,2024-06-05,2032.33,Google Pay,Failed,3,40.65,True
98,61,7,2024-04-04,935.31,Wallet,Failed,6,18.71,False
99,54,6,2024-02-21,1513.69,Apple Pay,Failed,3,30.27,False
100,71,4,2024-05-12,2623.61,Card,Failed,3,52.47,True
101,66,5,2024-04-21,825.65,Card,Success,6,16.51,False
102,54,2,2024-04-11,2792.11,Google Pay,Success,6,55.84,True
103,4,11,2024-01-26,1130.99,Google Pay,Success,3,22.62,True
104,61,5,2024-06-29,867.77,Wallet,Failed,12,17.36,True
105,3,9,2024-02-25,2718.51,Apple Pay,Failed,3,54.37,False
106,16,2,2024-03-02,720.54,Wallet,Failed,3,14.41,True
107,64,20,2024-05-17,2511.7,Card,Success,12,50.23,True
108,1,20,2024-03-31,880.9,Apple Pay,Failed,3,17.62,True
109,47,3,2024-05-14,1575.22,Card,Failed,6,31.5,True
110,48,9,2024-01-05,1910.66,Google Pay,Success,6,38.21,True
111,81,4,2024-05-28,2201.49,Google Pay,Success,3,44.03,False
112,83,6,2024-06-24,1642.58,Wallet,Failed,12,32.85,True
113,9,15,2024-01-10,2436.38,Google Pay,Success,3,48.73,True
114,41,10,2024-05-11,2658.51,Wallet,Failed,6,53.17,True
115,25,10,2024-04-01,2262.34,Card,Failed,6,45.25,True
116,56,13,2024-04-22,2400.03,Wallet,Failed,3,48.0,False
117,48,17,2024-03-09,2079.28,Card,Failed,3,41.59,False
118,24,18,2024-03-16,1811.34,Google Pay,Success,3,36.23,False
119,40,15,2024-06-03,1986.15,Wallet,Success,12,39.72,False
120,6,12,2024-06-06,1061.13,Wallet,Failed,12,21.22,True
121,82,13,2024-04-03,234.37,Apple Pay,Success,3,4.69,False
122,9,8,2024-06-14,114.05,Google Pay,Failed,6,2.28,True
123,87,15,2024-04-04,1819.23,Google Pay,Failed,3,36.38,True
124,51,11,2024-06-15,1593.09,Google Pay,Success,3,31.86,True
125,64,17,2024-04-09,2209.67,Card,Failed,6,44.19,False
126,79,10,2024-06-26,651.57,Wallet,Success,3,13.03,True
127,58,6,2024-04-23,2559.95,Card,Failed,12,51.2,False
128,71,18,2024-03-15,2131.53,Google Pay,Success,12,42.63,True
129,66,8,2024-02-01,2383.15,Apple Pay,Success,3,47.66,False
130,71,19,2024-04-04,88.59,Wallet,Success,12,1.77,True
131,51,16,2024-05-14,206.59,Wallet,Failed,12,4.13,True
132,41,3,2024-04-25,384.73,Wallet,Failed,3,7.69,True
133,17,14,2024-05-08,2305.67,Card,Success,12,46.11,True
134,21,11,2024-02-27,919.33,Google Pay,Failed,3,18.39,False
135,71,9,2024-02-02,596.94,Google Pay,Success,12,11.94,True
136,75,5,2024-02-13,1779.51,Google Pay,Success,3,35.59,True
137,83,19,2024-03-08,145.93,Apple Pay,Failed,12,2.92,True
138,81,18,2024-03-15,1499.13,Google Pay,Failed,3,29.98,False
139,10,2,2024-02-10,899.33,Wallet,Failed,6,17.99,False
140,78,5,2024-03-21,620.03,Google Pay,Failed,6,12.4,True
141,66,18,2024-01-28,2284.39,Google Pay,Success,6,45.69,True
142,32,5,2024-01-25,809.74,Card,Failed,6,16.19,False
143,21,11,2024-05-27,752.33,Google Pay,Success,3,15.05,False
144,60,16,2024-03-19,2987.95,Wallet,Success,3,59.76,False
145,31,7,2024-05-29,1521.28,Google Pay,Success,3,30.43,False
146,84,16,2024-03-14,1489.73,Card,Success,6,29.79,True
147,94,12,2024-04-13,2648.54,Google Pay,Success,6,52.97,True
148,25,12,2024-05-21,1715.14,Google Pay,Success,6,34.3,False
149,36,20,2024-06-23,2295.57,Card,Success,3,45.91,False
150,44,18,2024-04-03,1125.86,Apple Pay,Success,12,22.52,False
151,6,2,2024-02-05,1505.23,Google Pay,Failed,12,30.1,False
152,66,5,2024-03-24,455.33,Google Pay,Success,6,9.11,False
153,65,17,2024-05-16,1785.24,Wallet,Failed,6,35.7,True
154,87,4,2024-04-16,1111.39,Google Pay,Success,12,22.23,False
155,84,19,2024-05-27,803.94,Apple Pay,Success,12,16.08,False
156,81,20,2024-04-07,519.83,Apple Pay,Success,3,10.4,True
157,57,11,2024-04-17,580.45,Apple Pay,Failed,12,11.61,True
158,100,20,2024-04-30,1237.03,Card,Success,12,24.74,True
159,85,16,2024-05-14,1687.05,Wallet,Failed,3,33.74,False
160,44,18,2024-03-31,2737.25,Google Pay,Failed,3,54.75,True
161,39,8,2024-03-17,844.23,Google Pay,Success,12,16.88,False
162,45,18,2024-03-11,957.95,Google Pay,Success,12,19.16,False
163,51,12,2024-02-07,2688.32,Google Pay,Success,6,53.77,True
164,57,9,2024-05-02,1045.63,Apple Pay,Success,12,20.91,False
165,90,9,2024-02-05,2799.74,Card,Success,3,55.99,True
166,68,8,2024-06-12,2012.8,Apple Pay,Success,3,40.26,False
167,61,4,2024-06-23,997.58,Apple Pay,Success,12,19.95,True
168,61,16,2024-06-15,1226.65,Apple Pay,Failed,6,24.53,False
169,99,3,2024-06-15,1941.23,Apple Pay,Success,3,38.82,False
170,23,2,2024-04-11,2647.91,Wallet,Success,12,52.96,False
171,2,10,2024-05-25,2631.46,Card,Failed,6,52.63,False
172,70,17,2024-05-06,2967.41,Apple Pay,Failed,6,59.35,True
173,43,6,2024-04-27,2428.35,Google Pay,Success,3,48.57,False
174,73,7,2024-02-14,2374.4,Wallet,Failed,12,47.49,False
175,86,4,2024-02-17,269.35,Apple Pay,Failed,6,5.39,True
176,50,8,2024-04-24,30.42,Google Pay,Failed,6,0.61,True
177,47,8,2024-01-16,792.04,Card,Failed,6,15.84,True
178,65,10,2024-06-25,1222.2,Card,Failed,6,24.44,True
179,18,16,2024-02-09,665.19,Wallet,Failed,6,13.3,False
180,86,7,2024-03-04,2274.48,Card,Failed,12,45.49,False
181,73,4,2024-01-16,243.53,Apple Pay,Success,3,4.87,False
182,57,4,2024-06-23,2564.91,Apple Pay,Failed,3,51.3,False
183,59,5,2024-05-11,2427.99,Wallet,Failed,12,48.56,True
184,87,10,2024-01-06,1680.8,Wallet,Failed,3,33.62,True
185,6,14,2024-03-29,1739.15,Card,Success,3,34.78,False
186,53,6,2024-02-04,104.89,Wallet,Failed,6,2.1,False
187,49,13,2024-01-21,2610.16,Apple Pay,Failed,3,52.2,True
188,51,17,2024-02-02,2978.61,Apple Pay,Success,3,59.57,False
189,93,18,2024-04-18,1394.38,Wallet,Success,3,27.89,False
190,36,7,2024-01-29,1045.02,Card,Failed,12,20.9,True
191,9,4,2024-06-01,729.59,Card,Failed,12,14.59,True
192,6,13,2024-04-22,741.76,Apple Pay,Success,3,14.84,True
193,38,8,2024-05-27,1516.65,Google Pay,Failed,3,30.33,False
194,85,17,2024-02-26,2630.01,Wallet,Failed,6,52.6,True
195,76,6,2024-06-09,1674.59,Wallet,Failed,3,33.49,False
196,86,13,2024-05-14,2825.34,Google Pay,Failed,6,56.51,True
197,24,18,2024-05-01,906.67,Apple Pay,Success,6,18.13,True
198,8,18,2024-04-15,2419.27,Wallet,Success,6,48.39,True
199,43,3,2024-04-25,772.44,Google Pay,Success,12,15.45,True
200,49,20,2024-06-03,164.09,Card,Success,3,3.28,True
201,43,10,2024-01-04,1443.39,Apple Pay,Success,12,28.87,True
202,97,16,2024-03-03,2243.17,Apple Pay,Failed,3,44.86,False
203,49,15,2024-05-16,2328.79,Google Pay,Failed,6,46.58,False
204,64,15,2024-01-26,1543.32,Wallet,Failed,3,30.87,False
205,6,19,2024-02-26,945.64,Apple Pay,Success,6,18.91,False
206,26,11,2024-02-28,892.62,Wallet,Success,6,17.85,False
207,63,16,2024-04-27,779.41,Apple Pay,Failed,3,15.59,True
208,63,6,2024-05-18,2163.74,Card,Success,3,43.27,True
209,53,5,2024-06-10,2295.37,Apple Pay,Success,12,45.91,True
210,65,15,2024-04-05,37.33,Card,Failed,12,0.75,False
211,69,18,2024-04-15,57.04,Card,Success,12,1.14,False
212,37,1,2024-05-08,1611.86,Wallet,Success,3,32.24,True
213,31,7,2024-06-07,1577.91,Google Pay,Failed,6,31.56,False
214,52,15,2024-05-24,246.27,Apple Pay,Success,6,4.93,True
215,84,2,2024-01-24,1964.67,Wallet,Failed,6,39.29,False
216,2,6,2024-01-22,177.78,Wallet,Failed,12,3.56,False
217,13,17,2024-01-11,1701.91,Apple Pay,Success,12,34.04,False
218,10,9,2024-05-19,820.57,Card,Success,6,16.41,True
219,76,5,2024-04-11,2884.79,Card,Failed,3,57.7,True
220,50,18,2024-03-25,1704.42,Wallet,Success,12,34.09,True
221,45,2,2024-01-26,1507.37,Wallet,Success,3,30.15,False
222,79,20,2024-04-11,1819.45,Google Pay,Success,12,36.39,False
223,58,16,2024-02-28,2352.81,Google Pay,Failed,6,47.06,True
224,85,13,2024-01-22,2042.29,Google Pay,Success,12,40.85,True
225,20,13,2024-06-11,255.29,Apple Pay,Failed,6,5.11,False
226,1,10,2024-04-23,328.59,Google Pay,Failed,3,6.57,True
227,56,15,2024-05-22,271.02,Wallet,Success,3,5.42,True
228,12,20,2024-06-02,1068.2,Google Pay,Failed,3,21.36,False
229,100,3,2024-05-23,1247.29,Apple Pay,Success,12,24.95,False
230,35,10,2024-03-09,516.81,Wallet,Success,3,10.34,True
231,54,10,2024-05-03,1309.68,Card,Failed,6,26.19,True
232,64,20,2024-06-06,2165.49,Apple Pay,Failed,3,43.31,True
233,51,11,2024-06-07,920.93,Wallet,Failed,6,18.42,False
234,84,20,2024-02-04,1297.54,Google Pay,Failed,12,25.95,True
235,23,13,2024-03-22,1442.24,Google Pay,Failed,12,28.84,True
236,36,13,2024-04-03,984.4,Card,Success,12,19.69,True
237,71,1,2024-04-28,2048.32,Apple Pay,Failed,6,40.97,True
238,53,16,2024-02-05,2458.71,Google Pay,Success,6,49.17,True
239,49,3,2024-04-24,2148.56,Wallet,Failed,12,42.97,False
240,47,18,2024-06-01,1635.5,Card,Success,3,32.71,False
241,79,2,2024-05-24,507.35,Wallet,Failed,6,10.15,True
242,34,8,2024-05-10,41.54,Apple Pay,Failed,6,0.83,False
243,87,19,2024-06-25,1394.56,Apple Pay,Failed,3,27.89,False
244,54,3,2024-01-30,322.6,Apple Pay,Failed,6,6.45,False
245,27,17,2024-05-03,1371.44,Google Pay,Failed,3,27.43,False
246,58,11,2024-01-18,2168.76,Google Pay,Success,12,43.38,True
247,44,4,2024-06-22,77.53,Apple Pay,Success,12,1.55,True
248,43,18,2024-04-19,1660.21,Wallet,Success,6,33.2,True
249,85,14,2024-04-11,567.3,Card,Success,6,11.35,False
250,91,7,2024-02-22,1172.62,Google Pay,Success,12,23.45,True
251,69,6,2024-04-03,2400.51,Google Pay,Success,6,48.01,True
252,63,17,2024-06-12,794.44,Google Pay,Failed,12,15.89,False
253,45,12,2024-04-27,1765.14,Apple Pay,Failed,12,35.3,True
254,41,4,2024-03-02,2019.61,Google Pay,Success,3,40.39,False
255,66,13,2024-04-17,2083.38,Apple Pay,Failed,6,41.67,True
256,69,6,2024-05-22,1465.14,Apple Pay,Failed,6,29.3,True
257,58,20,2024-01-14,569.42,Google Pay,Success,6,11.39,True
258,50,18,2024-05-09,593.43,Wallet,Failed,12,11.87,False
259,57,16,2024-02-12,1252.74,Card,Success,3,25.05,False
260,29,18,2024-03-14,107.76,Apple Pay,Failed,12,2.16,False
261,15,19,2024-01-30,1653.68,Google Pay,Failed,12,33.07,True
262,57,18,2024-02-25,2282.41,Wallet,Success,12,45.65,True
263,5,15,2024-03-08,900.15,Google Pay,Success,6,18.0,True
264,31,7,2024-05-30,2329.14,Google Pay,Failed,3,46.58,True
265,27,2,2024-05-25,2356.7,Google Pay,Failed,12,47.13,True
266,91,10,2024-03-15,977.72,Google Pay,Success,3,19.55,False
267,36,5,2024-06-28,2757.12,Apple Pay,Success,3,55.14,False
268,98,13,2024-05-05,2487.16,Apple Pay,Failed,12,49.74,False
269,10,3,2024-04-13,1131.77,Google Pay,Failed,6,22.64,False
270,1,3,2024-04-27,988.59,Google Pay,Success,12,19.77,False
271,55,7,2024-05-06,661.31,Google Pay,Failed,6,13.23,False
272,17,19,2024-05-04,1646.46,Google Pay,Success,3,32.93,True
273,59,1,2024-02-01,1882.28,Apple Pay,Failed,6,37.65,True
274,55,7,2024-06-25,2975.6,Apple Pay,Failed,3,59.51,False
275,47,9,2024-01-22,289.09,Google Pay,Success,3,5.78,False
276,93,8,2024-04-19,1880.56,Card,Success,3,37.61,True
277,17,19,2024-02-27,1435.65,Wallet,Success,3,28.71,False
278,55,5,2024-05-02,2453.16,Card,Success,6,49.06,True
279,14,4,2024-03-21,2194.98,Google Pay,Failed,3,43.9,False
280,97,5,2024-06-13,2322.65,Apple Pay,Success,12,46.45,True
281,22,15,2024-03-30,1834.85,Apple Pay,Success,6,36.7,False
282,12,4,2024-02-05,2581.29,Card,Failed,6,51.63,False
283,18,8,2024-03-11,950.37,Card,Success,12,19.01,False
284,89,1,2024-06-17,2339.12,Google Pay,Success,12,46.78,True
285,38,2,2024-03-02,2246.05,Wallet,Failed,3,44.92,True
286,77,3,2024-05-15,1503.75,Card,Failed,6,30.07,True
287,73,14,2024-04-03,1166.65,Apple Pay,Failed,3,23.33,True
288,2,9,2024-02-25,1766.22,Card,Success,6,35.32,False
289,65,14,2024-04-18,1889.43,Wallet,Success,12,37.79,True
290,40,3,2024-05-10,839.63,Apple Pay,Success,12,16.79,False
291,82,3,2024-03-20,1178.29,Wallet,Success,3,23.57,True
292,56,4,2024-04-26,267.78,Card,Failed,12,5.36,True
293,91,5,2024-06-28,367.13,Card,Success,6,7.34,False
294,93,9,2024-02-12,1573.79,Google Pay,Success,12,31.48,False
295,16,1,2024-03-26,2201.48,Wallet,Failed,12,44.03,True
296,74,3,2024-05-07,796.22,Wallet,Failed,3,15.92,False
297,22,12,2024-02-10,2579.49,Google Pay,Success,12,51.59,True
298,66,1,2024-01-12,692.93,Card,Success,3,13.86,False
299,20,6,2024-01-10,1098.29,Wallet,Success,6,21.97,True
300,93,11,2024-03-10,1254.61,Card,Failed,3,25.09,True
301,67,2,2024-04-12,546.24,Card,Failed,6,10.92,False
302,71,15,2024-01-03,988.63,Google Pay,Success,6,19.77,False
303,32,15,2024-04-04,2221.33,Wallet,Success,12,44.43,True
304,53,1,2024-02-29,460.19,Google Pay,Success,6,9.2,True
305,49,10,2024-01-27,2279.2,Apple Pay,Success,6,45.58,False
306,19,9,2024-01-24,2883.94,Card,Success,12,57.68,False
307,48,15,2024-01-22,2105.53,Card,Success,12,42.11,False
308,73,2,2024-04-21,233.74,Apple Pay,Success,6,4.67,False
309,51,11,2024-03-22,2554.23,Wallet,Failed,3,51.08,True
